
Sr.No,Round ▲▼,Institute ▲▼,Program ▲▼,Stream ▲▼,Quota ▲▼,Category ▲▼,Seat Gender ▲▼,Opening Rank ▲▼,Closing Rank ▲▼,Remark ▲▼
1,Round 1,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY, JHANSI",Electrical Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,73987,87952,
2,Round 1,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY, JHANSI",Mechanical Engineering,B.Tech,Home State,OPEN(AF),Both Male and Female Seats,154317,154317,
3,Round 1,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY, JHANSI",Mechanical Engineering,B.Tech,Home State,SC,Both Male and Female Seats,270300,294158,
4,Round 1,"RAJKIYA ENGINEERING COLLEGE,BANDA",Electrical Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,123163,171255,
5,Round 1,"RAJKIYA ENGINEERING COLLEGE,BANDA",Mechanical Engineering,B.Tech,Home State,BC(AF),Both Male and Female Seats,737985,737985,
6,Round 1,"RAJKIYA ENGINEERING COLLEGE,BANDA",Mechanical Engineering,B.Tech,Home State,SC,Both Male and Female Seats,446393,820087,
7,Round 1,"RAJA BALWANT SINGH ENGINEERING TECHNICAL CAMPUS,AGRA",Mechanical Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,343197,749678,
8,Round 1,"RAJA BALWANT SINGH ENGINEERING TECHNICAL CAMPUS,AGRA",Food Technology,B.Tech,All India,OPEN,Both Male and Female Seats,347420,1409525,
9,Round 1,"RAJ KUMAR GOEL INSTT. OF TECHNOLOGY,GHAZIABAD",Information Technology,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,924992,1181075,
10,Round 1,"RAJ KUMAR GOEL INSTT. OF TECHNOLOGY,GHAZIABAD",Computer Science,B.Tech,Home State,BC,Both Male and Female Seats,854527,1367239,
11,Round 1,"RAJ KUMAR GOEL INSTT. OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering (Data Science),B.Tech,Home State,EWS(GL),Female Seats,915049,915049,
12,Round 1,"S.R.INSTITUTE OF MANAGEMENT & TECHNOLOGY,LUCKNOW",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,OPEN(GIRL),Female Seats,1078213,1145917,
13,Round 1,"Dr. Bhim Rao Ambedkar University, Agra",Computer Science and Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,354773,396871,
14,Round 1,"Dr. Bhim Rao Ambedkar University, Agra",Electrical Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,172877,893633,
15,Round 1,"MAHARANA PRATAP ENGINEERING COLLEGE,KANPUR",Computer Science and Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,494975,1364047,
16,Round 1,"MAHARANA PRATAP ENGINEERING COLLEGE,KANPUR",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,179484,348642,
17,Round 1,"MAHARANA PRATAP ENGINEERING COLLEGE,KANPUR",Computer Science,B.Tech,Home State,OPEN,Both Male and Female Seats,973216,1023825,
18,Round 1,"MAHARANA PRATAP ENGINEERING COLLEGE,KANPUR",Computer Science and Engineering (Data Science),B.Tech,All India,OPEN,Both Male and Female Seats,212114,1276548,
19,Round 1,"BABU BANARASI DAS INSTITUTE OF TECHNOLOGY AND MANAGEMENT, LUCKNOW",Computer Science and Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,351485,525248,
20,Round 1,"BABU BANARASI DAS INSTITUTE OF TECHNOLOGY AND MANAGEMENT, LUCKNOW",Information Technology,B.Tech,Home State,OPEN(GIRL),Female Seats,744629,993403,
21,Round 1,"J.P..INSTITUTE OF ENGINEERING & TECHNOLOGY,MEERUT",Computer Science and Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,570780,1317029,
22,Round 1,"KAMLA NEHRU INSTITUTE OF TECHNOLOGY,SULTANPUR",Computer Science and Engineering,B.Tech,Home State,EWS(GL),Female Seats,63070,65357,
23,Round 1,"KAMLA NEHRU INSTITUTE OF TECHNOLOGY,SULTANPUR",Electrical Engineering,B.Tech,Home State,OPEN(AF),Both Male and Female Seats,124457,124457,
24,Round 1,"KAMLA NEHRU INSTITUTE OF TECHNOLOGY,SULTANPUR",Information Technology,B.Tech,Home State,OPEN,Both Male and Female Seats,59867,65599,
25,Round 1,"KAMLA NEHRU INSTITUTE OF TECHNOLOGY,SULTANPUR",Mechanical Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,91382,97004,
26,Round 1,"KAMLA NEHRU INSTITUTE OF TECHNOLOGY,SULTANPUR",Electronics Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,74500,88991,
27,Round 1,"FEROZ GANDHI INSTITUTE OF ENGINEERING &TECHNOLOGY,RAIBAREILLY",Computer Science and Engineering,B.Tech,Home State,BC,Both Male and Female Seats,545040,800481,
28,Round 1,"FEROZ GANDHI INSTITUTE OF ENGINEERING &TECHNOLOGY,RAIBAREILLY",Computer Science and Engineering,B.Tech,Home State,OPEN(AF),Both Male and Female Seats,1085270,1085270,
29,Round 1,"KCC INSTITUTE OF TECHNOLOGY & MANAGEMENT,GAUTAM BUDDH NAGAR",Computer Science and Engineering (Artificial Intelligence) (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,595846,756854,
30,Round 1,GREATER NOIDA COLLEGE,Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,386335,794591,
31,Round 1,"AZAD INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,226406,381485,
32,Round 1,"KAMLA NEHRU INSTITUTE OF TECHNOLOGY,SULTANPUR",Civil Engineering,B.Tech,Home State,OPEN(AF),Both Male and Female Seats,247868,247868,
33,Round 1,"KAMLA NEHRU INSTITUTE OF TECHNOLOGY,SULTANPUR",Information Technology,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,65964,67464,
34,Round 1,"KAMLA NEHRU INSTITUTE OF TECHNOLOGY,SULTANPUR",Information Technology,B.Tech,Home State,OPEN(GIRL),Female Seats,67130,70814,
35,Round 1,"KAMLA NEHRU INSTITUTE OF TECHNOLOGY,SULTANPUR",Information Technology,B.Tech,Home State,OPEN(PH),Both Male and Female Seats,1051227,1051227,
36,Round 1,"KAMLA NEHRU INSTITUTE OF TECHNOLOGY,SULTANPUR",Mechanical Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,84433,100781,
37,Round 1,"KAMLA NEHRU INSTITUTE OF TECHNOLOGY,SULTANPUR",Mechanical Engineering,B.Tech,Home State,BC(Girl),Female Seats,137542,160014,
38,Round 1,"KAMLA NEHRU INSTITUTE OF TECHNOLOGY,SULTANPUR",Electronics Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,72361,77270,
39,Round 1,"FEROZ GANDHI INSTITUTE OF ENGINEERING &TECHNOLOGY,RAIBAREILLY",Computer Science and Engineering,B.Tech,Home State,EWS(GL),Female Seats,786431,881261,
40,Round 1,"KCC INSTITUTE OF TECHNOLOGY & MANAGEMENT,GAUTAM BUDDH NAGAR",Computer Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,232348,1337874,
41,Round 1,"KCC INSTITUTE OF TECHNOLOGY & MANAGEMENT,GAUTAM BUDDH NAGAR",Artificial Intelligence And Machine Learning (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,643682,894525,
42,Round 1,"AZAD INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Civil Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,172853,881157,
43,Round 1,"KAMLA NEHRU INSTITUTE OF TECHNOLOGY,SULTANPUR",Civil Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,117373,142819,
44,Round 1,"KAMLA NEHRU INSTITUTE OF TECHNOLOGY,SULTANPUR",Civil Engineering,B.Tech,Home State,SC(Girl),Female Seats,331520,367291,
45,Round 1,"KAMLA NEHRU INSTITUTE OF TECHNOLOGY,SULTANPUR",Computer Science and Engineering,B.Tech,Home State,EWS(FF),Both Male and Female Seats,216364,216364,
46,Round 1,"KAMLA NEHRU INSTITUTE OF TECHNOLOGY,SULTANPUR",Electrical Engineering,B.Tech,Home State,OPEN(FF),Both Male and Female Seats,917874,917874,
47,Round 1,"KAMLA NEHRU INSTITUTE OF TECHNOLOGY,SULTANPUR",Information Technology,B.Tech,Home State,OPEN(AF),Both Male and Female Seats,83671,83671,
48,Round 1,"KAMLA NEHRU INSTITUTE OF TECHNOLOGY,SULTANPUR",Information Technology,B.Tech,Home State,SC,Both Male and Female Seats,190148,203058,
49,Round 1,"KAMLA NEHRU INSTITUTE OF TECHNOLOGY,SULTANPUR",Mechanical Engineering,B.Tech,Home State,BC(AF),Both Male and Female Seats,245653,245653,
50,Round 1,"FEROZ GANDHI INSTITUTE OF ENGINEERING &TECHNOLOGY,RAIBAREILLY",Mechanical Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,668973,668973,
51,Round 1,"VIDYA COLLEGE OF ENGINEERING,MEERUT",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,All India,OPEN,Both Male and Female Seats,370425,1309240,
52,Round 1,"R.D.ENGINEERING COLLEGE,GHAZIABAD",Information Technology,B.Tech,All India,OPEN,Both Male and Female Seats,607482,607482,
53,Round 1,"RAJARSHI RANANJAY SINGH INSTITUTE OF MANAGEMENT & TECHNOLOGY,SULTANPUR",Electrical & Electronics Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,542415,1351433,
54,Round 1,"KCC INSTITUTE OF TECHNOLOGY & MANAGEMENT,GAUTAM BUDDH NAGAR",Computer Science,B.Tech,All India,OPEN,Both Male and Female Seats,329941,1027265,
55,Round 1,"KCC INSTITUTE OF TECHNOLOGY & MANAGEMENT,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,All India,OPEN,Both Male and Female Seats,341496,1111526,
56,Round 1,GREATER NOIDA COLLEGE,Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,All India,OPEN,Both Male and Female Seats,568811,662282,
57,Round 1,"INDIAN INSTITUTE OF HANDLOOM TECHNOLOGY,VARANASI",Handloom & Textile Technology,B.Tech,Home State,OPEN(GIRL),Female Seats,790402,1011446,
58,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,SC(AF),Both Male and Female Seats,1186728,1186728,
59,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Electrical & Computer Engg.,B.Tech,Home State,BC,Both Male and Female Seats,311590,341099,
60,Round 1,"RAJKIYA ENGINEERING COLLEGE, PARTAPGARH",Civil Engineering,B.Tech,Home State,SC,Both Male and Female Seats,1006128,1409446,
61,Round 1,"INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,71375,136776,
62,Round 1,"INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD",Electronics Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,141669,224258,
63,Round 1,"SANSKAR COLLEGE OF ENGINEERING & TECHNOLOGY,GHAZIABAD",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,399460,1282885,
64,Round 1,"UNITED INSTITUTE OF TECHNOLOGY,ALLAHABAD",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,147516,1146828,
65,Round 1,"BUDDHA INSTITUTE OF TECHNOLOGY,GORAKHPUR",Computer Science,B.Tech,Home State,OPEN(GIRL),Female Seats,1286464,1286464,
66,Round 1,"BUDDHA INSTITUTE OF TECHNOLOGY,GORAKHPUR",Computer Science and Engineering (Data Science),B.Tech,All India,OPEN,Both Male and Female Seats,1111467,1111467,
67,Round 1,"RAJKIYA ENGINEERING COLLEGE,MAINPURI",Computer Science and Engineering,B.Tech,Home State,SC(Girl),Female Seats,253199,570689,
68,Round 1,"RAJKIYA ENGINEERING COLLEGE,MAINPURI",Computer Science and Engineering,B.Tech,Home State,SC,Both Male and Female Seats,201117,385993,
69,Round 1,"RAJKIYA ENGINEERING COLLEGE,MAINPURI",Electrical Engineering,B.Tech,Home State,BC(Girl),Female Seats,526490,584101,
70,Round 1,"RAJKIYA ENGINEERING COLLEGE, MIRZAPUR",Computer Science and Engineering,B.Tech,Home State,BC,Both Male and Female Seats,269882,320947,
71,Round 1,"RAJKIYA ENGINEERING COLLEGE, MIRZAPUR",Computer Science and Engineering,B.Tech,Home State,ST,Both Male and Female Seats,1258081,1258081,
72,Round 1,"RAJKIYA ENGINEERING COLLEGE, PARTAPGARH",Computer Science and Engineering,B.Tech,Home State,EWS(GL),Female Seats,272523,433216,
73,Round 1,"INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD",Civil Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,417484,632681,
74,Round 1,"MEERUT INSTITUTE OF ENGINEERING & TECHNOLOGY,MEERUT",Computer Science,B.Tech,Home State,OPEN(GIRL),Female Seats,712864,933730,
75,Round 1,"MEERUT INSTITUTE OF ENGINEERING & TECHNOLOGY,MEERUT",Computer Science,B.Tech,Home State,SC(Girl),Female Seats,1150169,1150169,
76,Round 1,"MEERUT INSTITUTE OF ENGINEERING & TECHNOLOGY,MEERUT",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,OPEN,Both Male and Female Seats,548214,965615,
77,Round 1,"MEERUT INSTITUTE OF ENGINEERING & TECHNOLOGY,MEERUT",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,1325158,1325158,
78,Round 1,"MEERUT INSTITUTE OF ENGINEERING & TECHNOLOGY,MEERUT",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,OPEN(GIRL),Female Seats,481629,626129,
79,Round 1,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Computer Science and Engineering,B.Tech,Home State,BC(AF),Both Male and Female Seats,102219,106481,
80,Round 1,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Computer Science and Engineering,B.Tech,Home State,EWS(GL),Female Seats,89209,95992,
81,Round 1,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Computer Science and Engineering,B.Tech,Home State,SC,Both Male and Female Seats,98399,260235,
82,Round 1,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Electrical & Electronics Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,111081,141882,
83,Round 1,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Electrical Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,162657,174434,
84,Round 1,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Electronics and Communication Engineering,B.Tech,Home State,SC,Both Male and Female Seats,257008,712741,
85,Round 1,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Information Technology,B.Tech,All India,OPEN,Both Male and Female Seats,74982,89608,
86,Round 1,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Computer Science and Engineering (Data Science),B.Tech,Home State,BC(Girl),Female Seats,106587,118977,
87,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Electrical & Computer Engg.,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,256436,272710,
88,Round 1,"PRANVEER SINGH INSTITUTE OF TECHNOLOGY,KANPUR",Computer Science and Engineering,B.Tech,Home State,BC,Both Male and Female Seats,495997,854452,
89,Round 1,"PRANVEER SINGH INSTITUTE OF TECHNOLOGY,KANPUR",Computer Science and Engineering,B.Tech,Home State,SC,Both Male and Female Seats,501591,1372123,
90,Round 1,"PRANVEER SINGH INSTITUTE OF TECHNOLOGY,KANPUR",Information Technology,B.Tech,All India,OPEN,Both Male and Female Seats,287810,451327,
91,Round 1,"PRANVEER SINGH INSTITUTE OF TECHNOLOGY,KANPUR",Information Technology,B.Tech,Home State,EWS(GL),Female Seats,684260,684260,
92,Round 1,"RAJKIYA ENGINEERING COLLEGE,AMBEDKAR NAGAR",Electrical Engineering,B.Tech,Home State,SC,Both Male and Female Seats,315932,902946,
93,Round 1,"PRANVEER SINGH INSTITUTE OF TECHNOLOGY,KANPUR",Computer Science and Engineering (Artificial Intelligence) (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,125498,301168,
94,Round 1,"PRANVEER SINGH INSTITUTE OF TECHNOLOGY,KANPUR",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,OPEN(GIRL),Female Seats,403606,578036,
95,Round 1,"PRANVEER SINGH INSTITUTE OF TECHNOLOGY,KANPUR",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,SC(Girl),Female Seats,1251309,1251309,
96,Round 1,"PRANVEER SINGH INSTITUTE OF TECHNOLOGY,KANPUR",Computer Science and Engineering (Data Science),B.Tech,Home State,BC(Girl),Female Seats,629993,1213323,
97,Round 1,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering,B.Tech,Home State,EWS(GL),Female Seats,324383,415337,
98,Round 1,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,242585,312769,
99,Round 1,"GOEL INSTITUTE OF TECHNOLOGY & MANAGEMENT,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,BC,Both Male and Female Seats,1195781,1403334,
100,Round 1,"GOEL INSTITUTE OF TECHNOLOGY & MANAGEMENT,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,860911,1190629,
101,Round 1,"GOEL INSTITUTE OF TECHNOLOGY & MANAGEMENT,LUCKNOW",Information Technology,B.Tech,All India,OPEN,Both Male and Female Seats,576646,1333960,
102,Round 1,"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Information Technology,B.Tech,Home State,OPEN(GIRL),Female Seats,302746,408300,
103,Round 1,"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Information Technology (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,148715,238509,
104,Round 1,"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Mechanical Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,860618,1179345,
105,Round 1,"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,378164,453316,
106,Round 1,"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science and Engineering (Artificial Intelligence),B.Tech,All India,OPEN,Both Male and Female Seats,195306,238201,
107,Round 1,"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,BC(AF),Both Male and Female Seats,538011,550176,
108,Round 1,"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science And Business System,B.Tech,Home State,OPEN(GIRL),Female Seats,365638,517498,
109,Round 1,"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science (Hindi),B.Tech,Home State,OPEN,Both Male and Female Seats,524071,804068,
110,Round 1,"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science & Engineering (Cyber Security),B.Tech,Home State,BC,Both Male and Female Seats,387784,472930,
111,Round 1,"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science and Engineering (Data Science),B.Tech,Home State,OPEN(AF),Both Male and Female Seats,460468,564060,
112,Round 1,"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Internet Of Things),B.Tech,Home State,EWS(GL),Female Seats,524568,527144,
113,Round 1,"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Electronics Engineering (VLSI Design and Technology),B.Tech,Home State,BC,Both Male and Female Seats,902316,1336809,
114,Round 1,"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science and Engineering (Artificial Intelligence)(Collaboration & Twining Program),B.Tech,All India,OPEN,Both Male and Female Seats,52896,295365,
115,Round 1,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Computer Science and Engineering (Data Science),B.Tech,Home State,SC(Girl),Female Seats,375050,423657,
116,Round 1,"I.M.S. ENGINEERING COLLEGE,GHAZIABAD",Computer Science and Engineering,B.Tech,Home State,BC,Both Male and Female Seats,458537,587770,
117,Round 1,"I.M.S. ENGINEERING COLLEGE,GHAZIABAD",Electronics and Communication Engineering,B.Tech,Home State,BC,Both Male and Female Seats,1045284,1128966,
118,Round 1,"I.M.S. ENGINEERING COLLEGE,GHAZIABAD",Information Technology,B.Tech,Home State,EWS(GL),Female Seats,852182,852182,
119,Round 1,"I.M.S. ENGINEERING COLLEGE,GHAZIABAD",Computer Science,B.Tech,Home State,OPEN(GIRL),Female Seats,619875,826192,
120,Round 1,"I.M.S. ENGINEERING COLLEGE,GHAZIABAD",Computer Science And Design,B.Tech,Home State,BC,Both Male and Female Seats,1209621,1209621,
121,Round 1,"I.M.S. ENGINEERING COLLEGE,GHAZIABAD",Computer Science And Design,B.Tech,Home State,OPEN,Both Male and Female Seats,722872,1156146,
122,Round 1,"I.M.S. ENGINEERING COLLEGE,GHAZIABAD",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,529411,588203,
123,Round 1,"I.M.S. ENGINEERING COLLEGE,GHAZIABAD",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,OPEN(GIRL),Female Seats,496238,546682,
124,Round 1,"S R GROUP OF INSTITUTIONS (COLLEGE OF SCIENCE AND ENGINEERING),JHANSI",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,OPEN(GIRL),Female Seats,1153312,1307988,
125,Round 1,"SHAMBHU NATH INSTITUTE OF ENGG. & TECHNOLGY,ALLAHABAD",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,227389,665883,
126,Round 1,"INSTITUTE OF ENGINEERING & TECHNOLOGY,SITAPUR",Computer Science and Engineering,B.Tech,Home State,BC,Both Male and Female Seats,630441,1189818,
127,Round 1,"INSTITUTE OF ENGINEERING & TECHNOLOGY,SITAPUR",Computer Science and Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,275145,592805,
